actual,proposed
0.0,0.11435087770223618
0.0,0.11209358274936676
0.0,0.10998381674289703
0.0,0.10801763832569122
0.0,0.1061866506934166
0.0,0.10448959469795227
0.0,0.10292023420333862
0.0,0.10150688141584396
0.0,0.10024358332157135
0.0,0.0991252213716507
0.0,0.09814764559268951
0.0,0.09730470925569534
0.0,0.09656134992837906
0.0,0.09588050097227097
0.0,0.09529345482587814
0.0,0.09479553997516632
0.004526791628450155,0.09438512474298477
0.014730039983987808,0.09405877441167831
0.024763567373156548,0.0938129797577858
0.030275912955403328,0.09364590048789978
0.031334370374679565,0.09352268278598785
0.036721475422382355,0.09340932965278625
0.037659935653209686,0.09333737194538116
0.03857304900884628,0.0932740718126297
0.04817967116832733,0.09321838617324829
0.05328323692083359,0.09323462098836899
0.06266822665929794,0.09329056739807129
0.05884190648794174,0.0934104323387146
0.050709523260593414,0.0935024693608284
0.03832881897687912,0.0935322567820549
0.030473140999674797,0.0934700220823288
0.027074240148067474,0.09335067123174667
0.019349420443177223,0.09320855140686035
0.01607506535947323,0.09301183372735977
0.012827565893530846,0.09279443323612213
0.013964492827653885,0.09255962073802948
0.006347143556922674,0.09233282506465912
0.0031744157895445824,0.092056043446064
2.2924399672774598e-05,0.09176065772771835
0.0,0.09144775569438934
0.0,0.09111710637807846
0.0,0.0907374918460846
0.0,0.09034270793199539
0.0,0.08989984542131424
0.24316257238388062,0.08944349735975266
0.24158048629760742,0.19075174629688263
0.240006223320961,0.19094139337539673
0.238438680768013,0.19112153351306915
0.2412363886833191,0.19128672778606415
0.23962022364139557,0.1914719194173813
0.23801171779632568,0.19164475798606873
0.23641033470630646,0.19180487096309662
0.23481501638889313,0.1919536590576172
0.2332252711057663,0.19209341704845428
0.23164063692092896,0.1922128051519394
0.22570110857486725,0.19232362508773804
