actual,proposed
-0.2479628175497055,-0.15079569816589355
-0.24687547981739044,-0.15111874043941498
-0.2457880973815918,-0.15136611461639404
-0.22436940670013428,-0.15154121816158295
-0.22287051379680634,-0.13903290033340454
-0.2213716059923172,-0.138731449842453
-0.21987269818782806,-0.13835789263248444
-0.21837379038333893,-0.1379159837961197
-0.24369306862354279,-0.1374092698097229
-0.24313294887542725,-0.15377891063690186
-0.24201272428035736,-0.15382926166057587
-0.24089248478412628,-0.15347802639007568
-0.2397722601890564,-0.1530809998512268
-0.2217925488948822,-0.1526404172182083
-0.22075141966342926,-0.14140821993350983
-0.2197103053331375,-0.1409236192703247
-0.21918973326683044,-0.14040422439575195
-0.21918973326683044,-0.14019779860973358
-0.19730335474014282,-0.14031921327114105
-0.19730335474014282,-0.1264004111289978
-0.19730335474014282,-0.12649013102054596
-0.1963639259338379,-0.12657639384269714
-0.19589421153068542,-0.1260327696800232
-0.1949547827243805,-0.1257762312889099
-0.22265653312206268,-0.1251927614212036
-0.22372683882713318,-0.14301827549934387
-0.22533227503299713,-0.1437663435935974
-0.22640256583690643,-0.14489710330963135
-0.22693772614002228,-0.1457080990076065
-0.2030028998851776,-0.14618436992168427
-0.20347937941551208,-0.1309029459953308
-0.20395585894584656,-0.13135503232479095
-0.20395585894584656,-0.1318143904209137
-0.20490878820419312,-0.13196031749248505
-0.21461404860019684,-0.13274236023426056
-0.21511192619800568,-0.13920949399471283
-0.21560978889465332,-0.13971826434135437
-0.216605544090271,-0.1402336061000824
-0.21710340678691864,-0.14109259843826294
-0.21809916198253632,-0.1416335254907608
-0.20324808359146118,-0.14251847565174103
-0.1600855439901352,-0.13303619623184204
-0.16044935584068298,-0.10496112704277039
-0.16081315279006958,-0.10538122057914734
-0.16117694973945618,-0.10580474138259888
-0.17954115569591522,-0.10623161494731903
-0.1799464076757431,-0.11853691935539246
-0.18035165965557098,-0.11900878697633743
-0.18075689673423767,-0.11948447674512863
-0.18116213381290436,-0.1199638769030571
-0.14241351187229156,-0.12044693529605865
-0.14273136854171753,-0.0948539599776268
-0.14336711168289185,-0.0952383503317833
-0.14432071149349213,-0.09584646672010422
-0.1452743113040924,-0.09668788313865662
-0.15014398097991943,-0.09755013883113861
-0.15144950151443481,-0.10106907784938812
-0.1527549922466278,-0.10222550481557846
-0.154060497879982,-0.1034124419093132
-0.15536600351333618,-0.10462956875562668
-0.15699787437915802,-0.10587655007839203
-0.14560621976852417,-0.10738565772771835
-0.14740370213985443,-0.099991075694561
-0.14890159666538239,-0.10166529566049576
-0.15099866688251495,-0.10317010432481766
-0.15309572219848633,-0.10514622181653976
-0.15650251507759094,-0.10718049108982086
-0.1586131751537323,-0.11020459979772568
-0.16102536022663116,-0.11237992346286774
-0.16343751549720764,-0.114838607609272
-0.16615121066570282,-0.11736859381198883
-0.21907706558704376,-0.12019819766283035
-0.2222062647342682,-0.1597229391336441
-0.2249443084001541,-0.1633146107196808
-0.22846461832523346,-0.1666964441537857
-0.2319849133491516,-0.1707654595375061
-0.27835947275161743,-0.17494718730449677
-0.28113776445388794,-0.21184462308883667
-0.28391605615615845,-0.2159261852502823
-0.2871573567390442,-0.2200719714164734
-0.29039862751960754,-0.22466117143630981
-0.3055165112018585,-0.2293378859758377
-0.3088887631893158,-0.2435714155435562
-0.3112974762916565,-0.24861866235733032
-0.3141879141330719,-0.2529359757900238
-0.3165965974330902,-0.2577055096626282
-0.2627622187137604,-0.26212140917778015
-0.24125847220420837,-0.2195882946252823
-0.2419806867837906,-0.2034912109375
-0.2419806867837906,-0.20593704283237457
-0.2423417717218399,-0.20770303905010223
-0.2427028864622116,-0.20972806215286255
-0.24635188281536102,-0.21170665323734283
-0.2467184215784073,-0.21651582419872284
-0.24745146930217743,-0.21841856837272644
-0.2478179931640625,-0.22062140703201294
-0.24818451702594757,-0.2224593311548233
-0.2950763702392578,-0.22425830364227295
-0.2946406304836273,-0.26831182837486267
-0.29376915097236633,-0.2695113718509674
-0.29333341121673584,-0.2702088952064514
-0.29333341121673584,-0.2712256908416748
-0.33092692494392395,-0.27258872985839844
-0.33092692494392395,-0.3090234100818634
-0.33092692494392395,-0.3104640543460846
-0.3314177393913269,-0.31184929609298706
-0.3314177393913269,-0.31366556882858276
-0.33190858364105225,-0.31496721506118774
-0.37093740701675415,-0.31670695543289185
-0.3720311224460602,-0.35536202788352966
-0.373124897480011,-0.3578164279460907
-0.373124897480011,-0.3602694571018219
-0.3736717700958252,-0.3616165518760681
-0.38925623893737793,-0.3634660840034485
-0.3903938829898834,-0.37997013330459595
-0.39210036396980286,-0.3824242353439331
-0.34205591678619385,-0.3854636549949646
-0.34304556250572205,-0.3374539017677307
-0.37187525629997253,-0.3396171033382416
-0.37187525629997253,-0.369395911693573
-0.3724116384983063,-0.3705853521823883
-0.3724116384983063,-0.37228748202323914
-0.3729480504989624,-0.3724116384983063
-0.3729480504989624,-0.3729480504989624
-0.3574502468109131,-0.3729480504989624
-0.3579636216163635,-0.3574502468109131
-0.3579636216163635,-0.3579636216163635
-0.3589903712272644,-0.3579636216163635
-0.3600171208381653,-0.3589903712272644
-0.3705211281776428,-0.3600171208381653
-0.3715732991695404,-0.3705211281776428
-0.3726254999637604,-0.3715732991695404
-0.37420374155044556,-0.3726254999637604
-0.37578198313713074,-0.37420374155044556
-0.43392235040664673,-0.37578198313713074
-0.4363417327404022,-0.43392235040664673
-0.43876105546951294,-0.4363417327404022
-0.44118040800094604,-0.43876105546951294
-0.4429948329925537,-0.44118040800094604
-0.4715675711631775,-0.4429948329925537
-0.47349098324775696,-0.4715675711631775
-0.42240166664123535,-0.47349098324775696
-0.4246774911880493,-0.42240166664123535
-0.4263843595981598,-0.4246774911880493
-0.4705367386341095,-0.4263843595981598
